Date,Close,High,Low,Open,Volume,Return,Log_Return,MA_7,MA_21,Volatility_21
2024-06-18,28.644750595092773,28.836245822358368,27.783012941112336,27.83886596937828,36180700.0,0.03131282139040481,0.03083257452325292,28.467836380004883,28.96372227441697,0.01609665793754859
2024-06-19,28.668685913085938,28.820286550624836,28.381440036686612,28.64474977130655,20776200.0,0.0008355917749642838,0.0008352428625091468,28.407288142613,28.973832766215008,0.016089635059422427
2024-06-20,29.123491287231445,29.43467330987396,28.88412073471887,28.900079177387937,39442900.0,0.015864186294562987,0.015739665314077295,28.39397975376674,28.987128893534344,0.016186655315803287
2024-06-21,29.27509117126465,29.490525576093454,29.02774292568322,29.163385119226373,43340200.0,0.005205415880192632,0.005191914536089031,28.493147168840682,29.02131312234061,0.016034569425753282
2024-06-24,29.570323944091797,29.570323944091797,29.107538153565248,29.394784086476587,24599400.0,0.010084777229214525,0.01003426518129126,28.675526482718332,29.076944669087727,0.016070360853569186
2024-06-25,29.546377182006836,29.618188646831587,29.33094278753259,29.562335623496946,18572600.0,-0.0008098241375453785,-0.0008101522222514889,28.94339370727539,29.116658846537273,0.015946844464295718
2024-06-26,29.59425163269043,29.618187772338125,29.2910473408536,29.362858803558076,25553200.0,0.0016203154244152085,0.001619004129660891,29.20328167506627,29.129467782520113,0.015293184972835624
2024-06-27,30.088956832885742,30.288432817792856,29.777774783432566,29.92937543620766,37731000.0,0.01671625984449121,0.01657808093640591,29.409596851893834,29.167681421552384,0.015684199884532155
2024-06-28,30.36024284362793,30.455990459555583,30.08895539536473,30.160766868250924,22019700.0,0.009016132139406219,0.008975729488860698,29.651247841971262,29.199603035336448,0.015531159977392022
2024-07-01,30.82302474975586,30.926750052595924,30.46396742979787,30.56769577639939,24963500.0,0.015243023862210547,0.015128016210955858,29.894038336617605,29.234351476033527,0.015600400559511297
2024-07-02,30.72727394104004,31.198037303906418,30.671420918645843,30.98260595682106,33346200.0,-0.003106470227798752,-0.003111305322418335,30.10149301801409,29.272298358735583,0.01555975387265325
2024-07-03,30.192684173583984,30.950693499282497,30.128850399572297,30.878882025400284,38509400.0,-0.017397891153046463,-0.017551013059221035,30.19040162222726,29.300673802693684,0.0158721343275605
2024-07-04,29.77777099609375,30.288428965505094,29.618189619712307,30.240556683223776,32698800.0,-0.013742175922644484,-0.013837473695238495,30.223457881382533,29.307444617861794,0.01619580774099586
2024-07-05,29.93735122680664,30.04107957404925,29.610210787436692,29.881498203774807,32758800.0,0.00535903881905142,0.005344730267809234,30.27247210911342,29.31516474769229,0.01620530376772773
2024-07-08,30.671422958374023,30.735256727504748,29.753835355332168,29.905435991375175,48845900.0,0.024520263199172998,0.02422446712413467,30.355681555611746,29.41103826250349,0.014419682722946895
2024-07-09,30.66344451904297,30.878878919017136,30.53578002762438,30.67940296094049,34832500.0,-0.00026012615527759575,-0.0002601599939542693,30.398996080671036,29.485844021751767,0.014177540148818389
2024-07-10,30.37619972229004,30.767173953145846,30.30438825310271,30.71132092641811,32899700.0,-0.009367662415569189,-0.009411814918630561,30.335163933890207,29.541060674758185,0.014404990093740428
2024-07-11,30.58365821838379,30.679405834976944,30.408118384828125,30.44801297142845,17229400.0,0.0068296395859392955,0.006806423243725851,30.31464740208217,29.636429196312314,0.013353163133739228
2024-07-12,30.440034866333008,30.72727771228811,30.432054122862088,30.663446983329802,15779100.0,-0.004696081515992434,-0.0047071427500186384,30.34998321533203,29.738637106759207,0.013134082088246134
2024-07-15,30.719297409057617,30.90281492443177,30.47992686916792,30.559716034543968,22969200.0,0.009174186033324094,0.009132358814467712,30.484486988612584,29.883779525756836,0.011775848995562074
2024-07-16,30.639507293701172,30.719296456603352,30.408114460018812,30.599609668488625,19637000.0,-0.002597393888732591,-0.00260077296870857,30.584794998168945,30.020182927449543,0.011889869765944574
2024-07-17,30.799091339111328,30.870902816563763,30.591637650783195,30.66344912823563,24606100.0,0.005208440327725716,0.005194923317115632,30.603033338274276,30.12277058192662,0.01027637482520345
2024-07-18,30.743234634399414,30.846962988056585,30.599611696646924,30.719298492694552,21315500.0,-0.0018135828780436736,-0.001815229410521337,30.614431926182338,30.22155861627488,0.010326289646166546
2024-07-19,30.870899200439453,30.934732970147444,30.631528651557822,30.719298563025475,30593100.0,0.004152606827428462,0.004144008550985477,30.685103280203684,30.30476851690383,0.009931849860518399
2024-07-22,30.256511688232422,30.791108835597853,30.22459784838019,30.791108835597853,25807800.0,-0.0199018340288023,-0.020102542975769622,30.63836806161063,30.35150282723563,0.011090291721866825
2024-07-23,29.865543365478516,30.32034834718535,29.865543365478516,30.256514573869804,25284700.0,-0.012921791076991984,-0.013006003657498348,30.556297847202845,30.365560894920712,0.011347771588735832
2024-07-24,30.104915618896484,30.320350050294756,29.921398075948773,30.049062585989006,23863800.0,0.00801499743328482,0.007983047944531016,30.46852902003697,30.39215796334403,0.01145973357351559
2024-07-25,30.065019607543945,30.120872637808468,29.737879125810938,29.96927199048503,19562600.0,-0.0013252324589642095,-0.0013261113560804937,30.386459350585938,30.4145754859561,0.011468406627346807
2024-07-26,30.033100128173828,30.42407435003882,29.857560308916696,30.057036269431944,32043200.0,-0.0010616816415481845,-0.0010622456247179066,30.277032034737722,30.411915642874582,0.010882277046604908
2024-07-29,29.426694869995117,30.096934226423002,29.059656785365306,29.929372104494803,39790000.0,-0.020191230861640097,-0.020397859890830043,30.08895492553711,30.367460977463494,0.011527584141345115
2024-07-30,29.243175506591797,29.338923110401087,29.03571881394998,29.13146641775927,16040700.0,-0.006236492552564754,-0.006256020706036388,29.856422969273158,30.29223006112235,0.010914678301292662
2024-07-31,29.849584579467773,29.849584579467773,29.490527218094503,29.562338690369156,28561100.0,0.020736772336481746,0.020524692364522264,29.798290525163925,30.25043532961891,0.01201254441566415
2024-08-01,29.3947811126709,30.18470734826197,29.35488652463865,30.120873572400807,29756300.0,-0.01523650909063956,-0.015353777393168313,29.731038774762833,30.212439945765905,0.01187341422283483
2024-08-02,28.509103775024414,29.36286063843911,28.509103775024414,29.29902991413602,36483900.0,-0.030130428059717884,-0.03059367844275751,29.50306565420968,30.15202722095308,0.013243765463137125
2024-08-05,28.485170364379883,28.485170364379883,27.607474231926947,27.767055623624017,44765900.0,-0.0008395006322681198,-0.0008398532102640202,29.277372905186244,30.082875751313708,0.013138911018008058
2024-08-06,28.979869842529297,29.251157294380278,28.197924373961627,28.40537805184208,36009000.0,0.017366913092716763,0.017217831836540135,29.126911435808456,30.00232560294015,0.012503460597952447
2024-08-07,28.939973831176758,29.322967324862326,28.7245394202733,29.283072739975402,25020500.0,-0.001376680142779363,-0.0013776286375029674,29.057379858834402,29.920255570184615,0.012494926443573962
